RGB,Name,Assignments
#F0F8FF,AliceBlue,6
#FAEBD7,AntiqueWhite,9
#00FFFF,Aqua,3
#7FFFD4,Aquamarine,3
#F0FFFF,Azure,3
#F5F5DC,Beige,0
#FFE4C4,Bisque,9
#000000,Black,4
#FFEBCD,BlanchedAlmond,0
#0000FF,Blue,5
#8A2BE2,BlueViolet,7
#A52A2A,Brown,9
#DEB887,BurlyWood,9
#5F9EA0,CadetBlue,3
#7FFF00,Chartreuse,8
#D2691E,Chocolate,9
#FF7F50,Coral,9
#6495ED,CornflowerBlue,6
#FFF8DC,Cornsilk,0
#DC143C,Crimson,2
#00FFFF,Cyan,3
#00008B,DarkBlue,5
#008B8B,DarkCyan,3
#B8860B,DarkGoldenrod,0
#A9A9A9,DarkGray,4
#006400,DarkGreen,8
#BDB76B,DarkKhaki,0
#8B008B,DarkMagenta,1
#556B2F,DarkOliveGreen,0
#FF8C00,DarkOrange,9
#9932CC,DarkOrchid,7
#8B0000,DarkRed,9
#E9967A,DarkSalmon,9
#8FBC8B,DarkSeaGreen,8
#483D8B,DarkSlateBlue,5
#2F4F4F,DarkSlateGray,3
#00CED1,DarkTurquoise,3
#9400D3,DarkViolet,7
#FF1493,DeepPink,2
#00BFFF,DeepSkyBlue,6
#696969,DimGray,4
#1E90FF,DodgerBlue,6
#B22222,Firebrick,9
#FFFAF0,FloralWhite,0
#228B22,ForestGreen,8
#FF00FF,Fuchsia,1
#DCDCDC,Gainsboro,4
#F8F8FF,GhostWhite,5
#FFD700,Gold,0
#DAA520,Goldenrod,0
#808080,Gray,4
#008000,Green,8
#ADFF2F,GreenYellow,0
#F0FFF0,Honeydew,8
#FF69B4,HotPink,2
#CD5C5C,IndianRed,9
#4B0082,Indigo,7
#FFFFF0,Ivory,0
#F0E68C,Khaki,0
#E6E6FA,Lavender,5
#FFF0F5,LavenderBlush,2
#7CFC00,LawnGreen,8
#FFFACD,LemonChiffon,0
#ADD8E6,LightBlue,6
#F08080,LightCoral,9
#E0FFFF,LightCyan,3
#FAFAD2,LightGoldenrodYellow,0
#90EE90,LightGreen,8
#D3D3D3,LightGray,4
#FFB6C1,LightPink,2
#FFA07A,LightSalmon,9
#20B2AA,LightSeaGreen,3
#87CEFA,LightSkyBlue,6
#778899,LightSlateGray,6
#B0C4DE,LightSteelBlue,6
#FFFFE0,LightYellow,0
#00FF00,Lime,8
#32CD32,LimeGreen,8
#FAF0E6,Linen,9
#FF00FF,Magenta,1
#800000,Maroon,9
#66CDAA,MediumAquamarine,3
#0000CD,MediumBlue,5
#BA55D3,MediumOrchid,7
#9370DB,MediumPurple,5
#3CB371,MediumSeaGreen,3
#7B68EE,MediumSlateBlue,5
#00FA9A,MediumSpringGreen,3
#48D1CC,MediumTurquoise,3
#C71585,MediumVioletRed,2
#191970,MidnightBlue,5
#F5FFFA,MintCream,3
#FFE4E1,MistyRose,9
#FFE4B5,Moccasin,0
#FFDEAD,NavajoWhite,0
#000080,Navy,5
#FDF5E6,OldLace,0
#808000,Olive,0
#6B8E23,OliveDrab,0
#FFA500,Orange,0
#FF4500,OrangeRed,9
#DA70D6,Orchid,1
#EEE8AA,PaleGoldenrod,0
#98FB98,PaleGreen,8
#AFEEEE,PaleTurquoise,3
#DB7093,PaleVioletRed,2
#FFEFD5,PapayaWhip,0
#FFDAB9,PeachPuff,9
#CD853F,Peru,9
#FFC0CB,Pink,2
#DDA0DD,Plum,1
#B0E0E6,PowderBlue,3
#800080,Purple,1
#FF0000,Red,9
#BC8F8F,RosyBrown,9
#4169E1,RoyalBlue,5
#8B4513,SaddleBrown,9
#FA8072,Salmon,9
#F4A460,SandyBrown,9
#2E8B57,SeaGreen,3
#FFF5EE,SeaShell,9
#A0522D,Sienna,9
#C0C0C0,Silver,4
#87CEEB,SkyBlue,6
#6A5ACD,SlateBlue,5
#708090,SlateGray,6
#FFFAFA,Snow,9
#00FF7F,SpringGreen,3
#4682B4,SteelBlue,6
#D2B48C,Tan,9
#008080,Teal,3
#D8BFD8,Thistle,1
#FF6347,Tomato,9
#40E0D0,Turquoise,3
#EE82EE,Violet,1
#F5DEB3,Wheat,0
#FFFFFF,White,4
#F5F5F5,WhiteSmoke,4
#FFFF00,Yellow,0
#9ACD32,YellowGreen,0
